127.0.0.1 - - [23/Mar/2023:21:28:53 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/img/disc.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/assets/img/new.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /templates/user/assets/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:31 +0700] "GET /user/templates/user/assets/ico/favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:37 +0700] "GET /admin/home HTTP/1.1" 403 157
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:40 +0700] "GET /admin/home HTTP/1.1" 403 157
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:56 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:29:56 +0700] "GET /admin/home HTTP/1.1" 200 12414
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:04 +0700] "GET /templates/admin/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:05 +0700] "GET /admin/management/product/add HTTP/1.1" 200 13986
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:14 +0700] "GET /admin/management/statistical/receipt HTTP/1.1" 200 12592
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:16 +0700] "GET /admin/home HTTP/1.1" 200 12414
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:18 +0700] "GET /admin/profile HTTP/1.1" 200 13532
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:19 +0700] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:19 +0700] "GET /login HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:19 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:19 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:54 +0700] "GET /login HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:54 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:54 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:55 +0700] "GET /register HTTP/1.1" 200 7570
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:55 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:30:55 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:03 +0700] "GET /login HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:03 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:03 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:06 +0700] "POST /j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:06 +0700] "GET /admin/home HTTP/1.1" 200 12414
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:11 +0700] "GET /admin/management/staff/add HTTP/1.1" 200 15942
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:17 +0700] "GET /admin/home HTTP/1.1" 200 12414
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:19 +0700] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:19 +0700] "GET /login HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:19 +0700] "GET /templates/auth/bootstrap/css/bootstrap.min.css%3E HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [23/Mar/2023:21:31:19 +0700] "GET /templates/auth/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 967
